ean,product,lines_count,product_norm,prod_tokens,match_item,match_category,score,is_food_corner_auto
8586020104260.0,Bagietka katalonska,2,bagietka katalonska,"['bagietka', 'katalonska']",Bagietka Katalońska,Bagietki,1.0,True
20100261.0,kotlet de volaille,1,kotlet de volaille,"['kotlet', 'de', 'volaille']",Kotlet de volaille z purée,Dania mięsne,0.7772727272727273,True
2050000726002.0,Pizza wrap,3,pizza wrap,"['pizza', 'wrap']",Pizza Wrap pepperoni,Pizza Wrap,0.6666666666666666,True
20100056.0,hot dog,46,hot dog,"['hot', 'dog']",Hot dog z kabanosem,Hot Dog,0.6153846153846154,True
20040338.0,kajzerka,16,kajzerka,['kajzerka'],Kajzerka kebab,Kajzerki,0.5909090909090909,True
5902461016857.0,Morliny Stripsy z kurczaka 300 g ,1,morliny stripsy z kurczaka 300 g,"['morliny', 'stripsy', 'kurczaka', '300']",Stripsy z kurczaka,Snacks,0.588,True
5903111184766.0,Kajzerka kebab Żabka 137g,1,kajzerka kebab zabka 137g,"['kajzerka', 'kebab', 'zabka', '137g']",Kajzerka kebab,Kajzerki,0.5871794871794872,True
5907778538900.0,GRZEŚKOWIAK Lunchbox z makaronem i kurczakiem 255 g 5907778538900,2,grzeskowiak lunchbox z makaronem i kurczakiem 255 g 5907778538900,"['grzeskowiak', 'lunchbox', 'makaronem', 'kurczakiem', '255', '5907778538900']",Lunchbox z makaronem i kurczakiem,Sałatki,0.5693877551020408,True
8586015136399.0,Bagietka BBQ STRIPS Tomcio Paluch 250g,6,bagietka bbq strips tomcio paluch 250g,"['bagietka', 'bbq', 'strips', 'tomcio', 'paluch', '250g']",Bagietka BBQ Strips,Bagietki,0.5666666666666667,True
2050000824272.0,Spaghetti carbonara 400g,1,spaghetti carbonara 400g,"['spaghetti', 'carbonara', '400g']",,,0.5163636363636364,False
20040598.0,bagietka czosnkowa,3,bagietka czosnkowa,"['bagietka', 'czosnkowa']",,,0.5151515151515151,False
20040468.0,bagietka z  maślanką,6,bagietka z maslanka,"['bagietka', 'maslanka']",,,0.5058823529411764,False
4001724037514.0,Dr. Oetker Ristorante Pizza Quattro Formaggi 340 g ,2,dr oetker ristorante pizza quattro formaggi 340 g,"['dr', 'oetker', 'ristorante', 'pizza', 'quattro', 'formaggi', '340']",,,0.5050301810865191,False
