menu_category,menu_item,fc_type
Pizza na wynos,Pizza Margherita,food
Pizza na wynos,Pizza Pepperoni,food
Pizza na wynos,Pizza Capricciosa,food
Pizza na wynos,Pizza Quattro formaggi,food
Pinsa Italiana,Pinsa Pesto,food
Pinsa Italiana,Pinsa Salsiccia,food
Chrupbox,Frytki/łódeczki + stripsy z kurczaka,food
Chrupbox,Frytki/łódeczki + nuggets z kurczaka,food
Chrupbox,Frytki/łódeczki + corn dog,food
Chrupbox,Frytki/łódeczki + fileciki marynowane,food
Zapiekanki,Zapiekanka z pieczarkami i serem,food
Zapiekanki,Zapiekanka z kurczakiem i serem,food
Zapiekanki,Zapiekanka z salami i serem,food
Burgery,Wolowiner,food
Burgery,Wieprzowiner,food
Burgery,Kurczaker,food
Burgery,Wegger,food
Burgery,Wolowiner extra cheddar,food
Hot Dog,Hot dog z parówką z szynki,food
Hot Dog,Hot dog z kabanosem,food
Hot Dog,Hot dog z kiełbasą bekon + ser,food
Hot Dog Max,Hot dog Max z parówką z szynki XXL,food
Hot Dog Max,Hot dog Max z kiełbasą z kurczaka,food
Hot Dog Max,Hot dog Max z kiełbasą grillowa,food
Tosty,Tost z szynką i serem,food
Tosty,Tost z kurczakiem i boczkiem,food
Panini,Panini z szynką i jalapeño,food
Panini,Panini z kurczakiem,food
Panini,Panini z kurczakiem i sosem bazyliowym,food
Panini,Panini z serem cheddar,food
Panini,Panini z pieczarkami,food
Panini,Panini z jalapeño i boczkiem,food
Rollo,Rollo z kurczakiem,food
Rollo,Rollo z wołowiną,food
Rollo,Rollo z wołową koftą,food
Pizza Wrap,Pizza Wrap pepperoni,food
Pizza Wrap,Pizza Wrap capricciosa,food
Snacks,Frytki/łódeczki,food
Snacks,Stripsy z kurczaka,food
Snacks,Nuggetsy z kurczaka,food
Snacks,Corn dog,food
Snacks,Fileciki marynowane,food
Snacks,Churros,food
Naleśniki / Pancakes / Racuchy / Placki,Naleśnik z serem,food
Naleśniki / Pancakes / Racuchy / Placki,Pancakes z sosem malinowym,food
Naleśniki / Pancakes / Racuchy / Placki,Pancakes proteinowe z sosem,food
Naleśniki / Pancakes / Racuchy / Placki,Racuchy z jabłkami i syropem klonowym,food
Naleśniki / Pancakes / Racuchy / Placki,Placki ziemniaczane,food
Pierogi,Pierogi ruskie,food
Pierogi,Pierogi z mięsem,food
Pierogi,Pierogi z mascarpone i masłem truskawkowym,food
Dania mięsne,Kotlet mielony z buraczkami,food
Dania mięsne,Kotlet drobiowy z marchewką,food
Dania mięsne,Kotlet de volaille z purée,food
Dania mięsne,Filet z kurczaka z fasolką szparagową,food
Dania mięsne,Schab grillowany z pieczonymi ziemniakami,food
Dania mięsne,Filet z kurczaka z warzywami i purée,food
Zupy,Krem pomidorowy ze śmietanką,food
Zupy,Kalafiorowa,food
Zupy,Rosół z makaronem,food
Zupy,Barszcz ukraiński,food
Zupy,Tajska z kurczakiem,food
Makarony,Spaghetti bolognese / carbonara,food
Makarony,Penne alla vodka,food
Makarony,Gemelli z kurczakiem i warzywami,food
Makarony,Tagliatelle z kurczakiem,food
Makarony,Penne proteinowe z kurczakiem,food
Makarony,Tagliatelle Marry Me z kurczakiem,food
Makarony,Gnocchi z kurczakiem,food
Sałatki,Sałatka z kuskusem perłowym i hummusem,food
Sałatki,Lunchbox High Protein z quinoa i edamame,food
Sałatki,Lunchbox z makaronem i kurczakiem,food
Sałatki,Lunchbox z kurczakiem i pesto,food
Sałatki,Lunchbox Cezar,food
Sałatki,Lunchbox Grecki,food
Sałatki,Sałatka z burakami i serem,food
Sałatki,Party & Grill,food
Sałatki,High Protein z kurczakiem,food
Bajgle,Bajgiel Cezar,food
Bajgle,Bajgiel z salami,food
Bajgle,Bajgiel jajko–bekon–cheddar,food
Kajzerki,Kajzerka kebab,food
Kajzerki,Kajzerka z polędwicą drobiową,food
Kajzerki,Kajzerka z jajkiem,food
Kajzerki,Kajzerka z szynką,food
Kajzerki,Kajzerka ze stripsem,food
Kanapki,Kanapka niski IG / pasta jajeczna,food
Kanapki,Kanapka teriyaki tofu,food
Kanapki,Kanapka z jajkiem i bekonem / z szynką,food
Kanapki,Kanapka Cezar / pastrami,food
Kanapki,Kanapka proteinowa z kurczakiem i suszonymi pomidorami,food
Kanapki,Kanapka Gyros,food
Bagietki,Bagietka Katalońska,food
Bagietki,Bagietka Andaluzj́ska,food
Bagietki,Bagietka z szynką i jajkiem,food
Bagietki,Bagietka grillowa z serem,food
Bagietki,Bagietka Cezar,food
Bagietki,Bagietka Włoska,food
Bagietki,Bagietka Hot Strips,food
Bagietki,Bagietka BBQ Strips,food
Bagietki,Bagietka Bekon & Strips,food
