ean,product,is_food_corner,type_food_or_bev_or_other
8445291231214.0,Lion White Nadziewany wafel z karmelem i płatkami pszennymi w białej polewie 60 g (2 x 30 g),,
5060166692483.0,Monster Energy Gazowany napój energetyczny 500 ml,,
4008400553023.0,Kinder Maxi King Wafel z mlecznym i karmelowym nadzieniem pokryty czekoladą i orzechami 35 g,,
5901939103075.0,Piątnica Skyr jogurt pitny typu islandzkiego wanilia 330 ml,,
5905567596018.0,MALU FOOD Ciastka buźka bez cukru bezglutenowe 100 g 5905567596018,,
5900197000317.0,Bakoma Kremowy jogurt kokosowo-migdałowy 140 g,,
59085300.0,ŁOWICZ Produkt owocowy malina 25 g 59085300,,
40145990.0,Zott Monte Deser 150 g,,
4056489216223.0,Serek High Protein Malina Milbona 200g,,
5908260254339.0,"Oshee Wiedźmin Isotonic Elixir Napój izotoniczny niegazowany o smaku bzu i agrestu 0,75 l",,
5449000014535.0,"Napój Sprite 330ML 0,33L puszka",,
5905669732017.0,LÓD W KOSTKACH 1 KG,,
59073499.0,Wkłady tytoniowe TEREA RUSSET do użytku z urządzen,,
5900783003968.0,Pudliszki Koncentrat pomidorowy 90 g,,
20040871.0,ciastko truskawkowe,,
42069942.0,Orbit White Freshmint Guma do żucia bez cukru 14 g (10 sztuk),,
5000507039829.0,Przetarte ananas kokos hortex 300ml,,
7613287252425.0,Garden Gourmet Wegański produkt na bazie białka sojowego i pszennego 175 g,,
5908260253790.0,Oshee Vitamin Water Napój niegazowany o smaku czerwonych winogron-dragonfruit 555 ml,,
5903317641674.0,Slonce Wow Strange Orange Smoothie 330 ml,,
54490703.0,Coca-Cola - Napój gazowany o smaku cola 330ml,,
4009900546775.0,Orbit Strawberry Bezcukrowa guma do żucia 29 g (21 sztuk),,
5901583408557.0,Mała Czarna Barista kawa rozpuszczalna 200g,,
5907029008367.0,Beskidzkie Paluchy o smaku sera i cebulki 100 g,,
20010393.0,banan luz,,
4820163120041.0,"Wódka Morosha Spring 40% 0,2L",,
5905187120013.0,Lorenz - Chrpki Curly Mexican Style 120g,,
5901359412030.0,Dębowe Dojrzałe Mocne Piwo jasne 500 ml,,
5900617013101.0,Sante Go On Protein Baton o smaku waniliowym w czekoladzie deserowej 50 g,,
5997347540472.0,MOGYI  Crasssh bit - słonecznik w skorupce o smaku cebulki ze śmietanką 0.07 kg (70g),,
5900571103191.0,Felix Orzeszki ziemne lekko solone 220 g,,
5900571100312.0,Felix Orzeszki z pieca z solą 220 g,,
5900259099396.0,LAYS Chipsy Fromage,,
5900191018363.0,Wyborowa Wybo Fizzy Drink Orange Gazowany napój alkoholowy 250 ml ,,
5449000275547.0,Napój cytrynowo-limonkowy Sprite 850ml,,
5905187109025.0,Wiejskie Ziemniaczki Chipsy ziemniaczane cebulka 130 g,,
5901882111301.0,Vifon Zupa błyskawiczna o smaku kurczaka złoty 60 g,,
5900259127600.0,Lay's Chipsy ziemniaczane solone 130 g,,
5900567017181.0,Krakus Kiełbasa krakowska sucha z szynki 80 g (2 x 40 g),,
4820260892070.0,E-Papieros Crystal Lush Ice Salt 20mg 600 Puff,,
5903978396357.0,Primavera Woda źródlana niegazowana 1 l,,
20100056.0,hot dog,,
5905927001114.0,"PIWO PERŁA CHMIELOWA 0,5L but.",,
20030018.0,reklamówka,,
59072454.0,Papierosy WINSTON slim superline GREEN,,
8594040447274.0,"WINO COLLECTION MORAVIA MULLER THURGAU B/WYT 0,75L",,
5901478004901.0,Velvet Chusteczki uniwersalne 3 warstwy 56 sztuk,,
5905927001619.0,"PIWO PERŁA CHMIELOWA  0,5L Perła Browary Lubelskie 500ml",,
5900552085805.0,4Move Napój izotoniczny niegazowany o smaku wiśniowym 750 ml,,
5900699000983.0,EB Piwo jasne pełne 4 x 500 ml ,,
5900535015669.0,Romper Piwo 500 ml Strong 6% Mocne,,
14141997.0,Sałatka Cezar z pieczonym kurczakiem dobra karma 190g,,
5900497600507.0,"Lipton IceTea napój cytr 0,5l PET",,
8586015136399.0,Bagietka BBQ STRIPS Tomcio Paluch 250g,,
5900541011129.0,"Żywiec Zdrój Napój niegazowany jabłkowy smak 1,2 l",,
7613038635651.0,"Nałęczowianka Naturalna woda mineralna niegazowana 1,5 l",,
5900552021865.0,Black Energy Zero Sugar Gazowany napój energetyzujący bez cukru 250 ml,,
5901750990014.0,Goldmak Makaron krajanka jajeczna Szefa 250 g ,,
5902451106056.0,KRESTO Chipsy jabłkowe ze świeżych jabłek 40 g,,
5903621960027.0,Marlboro Gold,,
4009900484633.0,Winterfresh - Guma do żucia bez cukru 58g,,
59072423.0,Papierosy WINSTON BLUE 100s,,
1014608990358.0,Donut worry be happy  Pączki mrożone z nadzieniem owocowym 10szt. 0.25 kg (250g),,
5907814662200.0,BIO PLANET  Soczewica czarna beluga BIO 0.4 kg (400g),,
5902620233729.0,"Schulstad Bułka pszenna w stylu chalki do przygotowywania hamburgerów 2,55 kg (30 x 85 g) ",,
4014500521695.0,Zott Jogobella Jogurt jagoda 150 g ,,
5908230536113.0,Tarczyński Kiełbasa krakowska 320 g ,,
8586020100064.0,Kanapka Cezar – Tomcio Paluch 205g,,
5903621200154.0,Papierosy L&M FIRST CUT RED 100s,,
5907589849653.0,Kost Zapalniczka piezoelektryczna ,,
4744131015330.0,Aquaphor - Dzbanek z wkładem filtrujacycm AQUAPHOR KOMPAKT B25  sztuka,,
59034476.0,Soplica szlachetna Wódka 100 ml ,,
5900877000248.0,Żubr Piwo jasne 500 ml,,
5000267126340.0,"WHISKY JOHNNIE WALKER RED 0,7L",,
5902180470336.0,Sonko Wafle ryżowe w czekoladzie mlecznej 65 g (4 sztuki),,
5902121029388.0,LODY GRAND 120ML MIX III X30 - KORAL,,
5900951028502.0,Twix 2 pack baton 75g,,
5902565210175.0,Cocoa Migdały w czekoladzie vegemilk BIO 70g,,
5900334008206.0,Tiger Classic Gazowany napój energetyzujący 250 ml,,
5449000000439.0,"Coca-Cola Napój gazowany 1,5 l",,
5900259133311.0,Lay's Chipsy ziemniaczane o smaku papryki 130 g,,
5905187114692.0,Crunchips X-Cut Chipsy ziemniaczane solony 140 g,,
5900471015686.0,Soplica cytrynówka Likier 200 ml ,,
5900334027757.0,Tymbark Napój jabłko jagoda 500 ml ,,
5902573010408.0,"ŻOŁĄDKOWA GORZKA Z MIĘTĄ 0,2L 28%",,
59006770.0,Papierosy WINSTON CLASSIC RED,,
5902573004254.0,"WÓDKA CZYSTA DE LUXE 0,200L 40%",,
5901559130000.0,Żywiec Piwo jasne 500 ml,,
5901204015935.0,DROSED Podlaski Pasztet z czosnkiem 130 g 5901204015935,,
5449000001085.0,"NAPÓJ NESTEA ICE TEA SŁONECZNA WIŚNIA 0,5L",,
8697288521130.0,BEYOGLU wafelek DUBAI duo gofret 36g,,
5449000275639.0,Cappy Lemonade Napój niegazowany smak cytryny 400 ml ,,
3057068056781.0,Filtry papierosowe OCB Slim A 150 szt.,,
5900552041429.0,Black Energy Sex Energy Gazowany napój energetyzujący 250 ml,,
5900552032373.0,Black Energy Mojito Gazowany napój energetyzujący 250 ml,,
5900699110149.0,Żywiec Bezalkoholowy napój piwny porzeczkaż & nuta rozmarynu 500 ml ,,
