slot,product,sales_value,units,rank_by_value,rank_by_units
06:00–09:00 going to work,Papierosy Davidoff EVOLVED BLUE,179.91,9.0,1.0,3.0
06:00–09:00 going to work,Papierosy CHESTERFIELD BLUE,102.5,5.0,2.0,5.0
06:00–09:00 going to work,Papierosy L&M FIRST CUT,97.5,5.0,3.0,5.0
06:00–09:00 going to work,Papierosy KENT BLUE 100's,78.0,4.0,4.0,6.0
06:00–09:00 going to work,Monster Energy Gazowany napój energetyczny 500 ml,69.9,10.0,5.0,2.0
06:00–09:00 going to work,"ŻOŁĄDKOWA GORZKA Z MIĘTĄ 0,2L 28%",68.47,4.0,6.0,6.0
06:00–09:00 going to work,Papierosy ROTHMANS BLUE,61.5,3.0,7.0,7.0
06:00–09:00 going to work,Papierosy WINSTON BLUE 100s,61.5,3.0,7.0,7.0
06:00–09:00 going to work,Papierosy WINSTON RED,61.5,3.0,7.0,7.0
06:00–09:00 going to work,Wkłady tytoniowe NEO SUMMER YELLOW CLICK,46.5,3.0,8.0,7.0
06:00–09:00 going to work,Żubr Piwo jasne 500 ml,45.900000000000006,10.0,9.0,2.0
06:00–09:00 going to work,Papierosy PALL MALL LONGS BLUE superslim,41.98,2.0,10.0,8.0
06:00–09:00 going to work,Papierosy P&S Parker&Simpson BLUE superslim,41.0,2.0,11.0,8.0
06:00–09:00 going to work,Papierosy WINSTON BLUE superslim,41.0,2.0,11.0,8.0
06:00–09:00 going to work,Lindt Excellence Czekolada gorzka z ekstraktem z papryki chili 100 g,39.0,2.0,12.0,8.0
06:00–09:00 going to work,Papierosy L&M FIRST CUT BRIGHT,39.0,2.0,12.0,8.0
06:00–09:00 going to work,Wkład Vuse 20mg - Strawberry Kiwi,35.98,2.0,13.0,8.0
06:00–09:00 going to work,Sałatka Cezar z pieczonym kurczakiem dobra karma 190g,35.97,3.0,14.0,7.0
06:00–09:00 going to work,"LUBELSKA CYTRYNÓWKA 0,200L 30%",35.4,2.0,15.0,8.0
06:00–09:00 going to work,Rana Gnocchi nadziewane szpinakiem i serem mozzarella 280 g ,33.98,2.0,16.0,8.0
06:00–09:00 going to work,Neo Scarlet wkład,31.0,2.0,17.0,8.0
06:00–09:00 going to work,Nietytoniowe wkłady VEO SCARLET CLICK,31.0,2.0,17.0,8.0
06:00–09:00 going to work,E-Papieros Crystal Lush Ice Salt 20mg 600 Puff,30.9,1.0,18.0,10.0
06:00–09:00 going to work,Black Energy Zero Sugar Gazowany napój energetyzujący bez cukru 250 ml,29.2,4.0,19.0,6.0
06:00–09:00 going to work,Bagietka BBQ STRIPS Tomcio Paluch 250g,27.98,2.0,20.0,8.0
06:00–09:00 going to work,Spaghetti bolognese Szamam 400g,27.98,2.0,20.0,8.0
06:00–09:00 going to work,bagietka czosnkowa,27.98,2.0,20.0,8.0
06:00–09:00 going to work,Suempol Pan Łosoś Łosoś szlachetny plastrowany 50 g,26.97,3.0,21.0,7.0
06:00–09:00 going to work,Come a Casa Lasagne Bolognese 400 g,25.98,2.0,22.0,8.0
06:00–09:00 going to work,Papierosy MARLBORO GOLD,23.99,1.0,23.0,10.0
06:00–09:00 going to work,FORTUNA.  Czarne Piwo (butelka bezzwrotna) 0.5 l (500ml),23.96,4.0,24.0,6.0
06:00–09:00 going to work,Harnaś Piwo jasne pełne 500 ml,23.94,6.0,25.0,4.0
06:00–09:00 going to work,Papierosy CAMEL BLUE,22.5,1.0,26.0,10.0
06:00–09:00 going to work,Zagłoba Piwo jasne pełne 500 ml ,22.200000000000003,3.0,27.0,7.0
06:00–09:00 going to work,Papierosy L&M BLUE,21.99,1.0,28.0,10.0
06:00–09:00 going to work,Papierosy LD PINK superslim,21.5,1.0,29.0,10.0
06:00–09:00 going to work,Papierosy CAMEL YELLOW,20.5,1.0,30.0,10.0
06:00–09:00 going to work,Papierosy LD BLUE,20.5,1.0,30.0,10.0
06:00–09:00 going to work,Papierosy WINSTON RED 100s,20.5,1.0,30.0,10.0
06:00–09:00 going to work,Papierosy MARLBORO SELECTO BLUE,19.99,1.0,31.0,10.0
06:00–09:00 going to work,Papierosy RGD PINK superslim,19.99,1.0,31.0,10.0
06:00–09:00 going to work,"LUBELSKA WIŚNIÓWKA 0,09L 28%",19.98,2.0,32.0,8.0
06:00–09:00 going to work,Papierosy KENT RED 100's,19.5,1.0,33.0,10.0
06:00–09:00 going to work,Papierosy L&M FIRST CUT BLUE 100s,19.5,1.0,33.0,10.0
06:00–09:00 going to work,Papierosy L&M FIRST CUT RED,19.5,1.0,33.0,10.0
06:00–09:00 going to work,Papierosy L&M FIRST CUT RED 100s,19.5,1.0,33.0,10.0
06:00–09:00 going to work,Papierosy WINSTON slim superline GREEN,19.5,1.0,33.0,10.0
06:00–09:00 going to work,Wkłady Aroma King Smart o stężeniu nikotyny 20 mg,18.99,1.0,34.0,10.0
06:00–09:00 going to work,"PIWO PERŁA CHMIELOWA  0,5L Perła Browary Lubelskie 500ml",18.0,4.0,35.0,6.0
06:00–09:00 going to work,"ABSOLWENT CYTRYNÓWKA 0,5L 32%",17.98,2.0,36.0,8.0
06:00–09:00 going to work,"Pepsi-Cola Napój gazowany o smaku cola 1,5 l",17.98,2.0,36.0,8.0
06:00–09:00 going to work,"Mountain Dew Napój gazowany 1,5 l",17.0,2.0,37.0,8.0
06:00–09:00 going to work,Fiit Regular wkład,15.5,1.0,38.0,10.0
06:00–09:00 going to work,Tarczyński Parówki premium z szynki 220 g (2 x 110 g),15.0,2.0,39.0,8.0
06:00–09:00 going to work,Red Bull Napój energetyczny 250 ml ,14.6,2.0,40.0,8.0
06:00–09:00 going to work,Wkłady tytoniowe TEREA GREEN do użytku z urządzeni,14.5,1.0,41.0,10.0
06:00–09:00 going to work,Romper Piwo 500 ml Strong 6% Mocne,14.38,4.0,42.0,6.0
06:00–09:00 going to work,kajzerka,14.22,18.0,43.0,1.0
06:00–09:00 going to work,Kinder Mleczna Kanapka Biszkopt z mlecznym nadzieniem 5 x 28 g,14.0,2.0,44.0,8.0
06:00–09:00 going to work,BAGIETKA 250 g 2401966000000,13.99,1.0,45.0,10.0
06:00–09:00 going to work,"Kanapka z pastą jajeczną, jajkiem, sosem pieprzowym i porem Tomcio Paluch 200g",13.98,2.0,46.0,8.0
06:00–09:00 going to work,Kinder Chocolate Maxi Batonik z mlecznej czekolady z nadzieniem mlecznym 42 g (2 x 21 g),13.5,3.0,47.0,7.0
06:00–09:00 going to work,"Lipton IceTea napój cytr 0,5l PET",13.5,3.0,47.0,7.0
06:00–09:00 going to work,Mlekovita Ser topiony Gouda w plastrach 130g,13.0,2.0,48.0,8.0
06:00–09:00 going to work,GRZEŚKOWIAK Lunchbox z makaronem i kurczakiem 255 g 5907778538900,11.99,1.0,49.0,10.0
06:00–09:00 going to work,Soplica szlachetna Wódka 100 ml ,11.99,1.0,49.0,10.0
06:00–09:00 going to work,bagietka z  maślanką,11.99,1.0,49.0,10.0
06:00–09:00 going to work,Coca-Cola Napój gazowany 500 ml,11.98,2.0,50.0,8.0
06:00–09:00 going to work,Black Energy Mojito Gazowany napój energetyzujący 250 ml,11.97,3.0,51.0,7.0
06:00–09:00 going to work,Tiger Classic Gazowany napój energetyzujący 250 ml,11.97,3.0,51.0,7.0
06:00–09:00 going to work,Kanapka Cezar – Tomcio Paluch 205g,11.5,1.0,52.0,10.0
06:00–09:00 going to work,Kanapka Trojkat Tomcio Paluch 210g,11.5,1.0,52.0,10.0
06:00–09:00 going to work,Kanapka trojkont jajko bekon Tomcio Paluch 200g,11.5,1.0,52.0,10.0
06:00–09:00 going to work,Aviko - Jalapeno przekąska serowa z papryczką 300g,10.99,1.0,53.0,10.0
06:00–09:00 going to work,PANINI Z KURCZAKIEM 205g -MROZONE - GREEN FOX,10.99,1.0,53.0,10.0
06:00–09:00 going to work,Tiger Classic Gazowany napój energetyzujący 500 ml,10.8,2.0,54.0,8.0
06:00–09:00 going to work,bułka śniadaniowa,10.75,6.0,55.0,4.0
06:00–09:00 going to work,"Coca-Cola Napój gazowany 1,5 l",10.5,1.0,56.0,10.0
06:00–09:00 going to work,"Sprite Napój gazowany o smaku cytrynowo-limonkowym 1,5 l",10.5,1.0,56.0,10.0
